userId,displayName,userUrl,joinDate,joinTime,comp_tier,dataset_tier,notebook_tier,discuss_tier,final_tier,comp_currentRanking,dataset_currentRanking,notebook_currentRanking,discuss_currentRanking,comp_points,dataset_points,notebook_points,discuss_points,comp_GoldMedals,comp_SilverMedals,comp_BronzeMedals,dataset_GoldMedals,dataset_SilverMedals,dataset_BronzeMedals,notebook_GoldMedals,notebook_SilverMedals,notebook_BronzeMedals,discuss_GoldMedals,discuss_SilverMedals,discuss_BronzeMedals
1796795,YoonSoo,/harangdev,07-04-2018,34:21.0,1,Unranked,3,3,1,38,Unranked,2929,262,63614,Unranked,23,267,6,6,1,Unranked,Unranked,Unranked,0,1,5,10,9,116
941167,currypurin,/currypurin,04-03-2017,25:00.9,1,Unranked,3,3,1,39,Unranked,417,339,62651,Unranked,205,215,5,8,6,Unranked,Unranked,Unranked,2,6,9,8,4,66
7285750,Eduardo Peynetti,/eduardopeynetti,27-04-2021,27:30.6,2,Unranked,Unranked,Unranked,2,40,Unranked,Unranked,Unranked,62552,Unranked,Unranked,Unranked,2,3,0,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
2029256,KS,/ks2019,29-06-2018,15:51.8,1,3,2,3,1,41,135,154,238,62007,99,449,298,5,17,4,0,1,8,5,5,7,15,28,134
4228387,UEMU,/asaliquid1011,19-12-2019,30:30.4,2,Unranked,Unranked,Unranked,2,42,Unranked,Unranked,Unranked,60638,Unranked,Unranked,Unranked,2,8,2,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
417337,Bojan Tunguz,/tunguz,11-09-2015,32:16.5,1,1,1,1,1,43,27,31,56,60352,399,1125,866,9,17,28,7,9,38,24,53,164,154,167,721
1565399,Tom,/tikutiku,19-01-2018,53:24.9,2,Unranked,Unranked,Unranked,2,44,Unranked,Unranked,Unranked,60206,Unranked,Unranked,Unranked,4,13,1,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
715257,senkin13,/senkin13,14-09-2016,24:24.0,1,Unranked,3,3,1,45,Unranked,588,103,59623,Unranked,151,571,8,6,4,Unranked,Unranked,Unranked,2,4,6,21,11,117
317344,ONODERA,/onodera,24-03-2015,37:35.1,1,Unranked,3,2,1,46,Unranked,2036,88,58021,Unranked,43,620,12,14,5,Unranked,Unranked,Unranked,1,2,8,62,64,245
42711,Harm Buisman,/harmbuisman,10-05-2012,47:51.4,3,Unranked,Unranked,Unranked,3,47,Unranked,Unranked,Unranked,57718,Unranked,Unranked,Unranked,1,1,0,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
1953180,zzy,/zzy990106,30-05-2018,37:43.0,2,3,3,3,2,48,1024,402,139,56808,9,211,468,4,6,4,0,0,3,2,5,8,9,16,150
3355848,Shujun,/shujun717,16-06-2019,15:34.0,2,Unranked,Unranked,3,2,49,Unranked,Unranked,444,56312,Unranked,Unranked,172,4,6,3,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,10,3,113
2755695,Ivan Panshin,/ivanpan,29-01-2019,41:09.1,2,Unranked,Unranked,3,2,50,Unranked,Unranked,723,55852,Unranked,Unranked,103,4,8,6,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,10,14,74
101028,cmanning,/cmanning,14-05-2013,02:34.2,2,Unranked,Unranked,Unranked,2,51,Unranked,Unranked,Unranked,55396,Unranked,Unranked,Unranked,2,7,5,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
1739577,ishikei,/amanatsu,20-03-2018,09:15.9,2,Unranked,Unranked,Unranked,2,52,Unranked,Unranked,Unranked,54826,Unranked,Unranked,Unranked,4,5,4,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
1328185,Darek Kłeczek,/thedrcat,11-10-2017,09:26.3,2,3,2,2,2,53,577,74,85,54454,26,770,668,3,2,0,0,0,4,9,10,13,32,20,182
2041299,Ryuichi,/ryuichigt,04-07-2018,07:34.7,2,Unranked,Unranked,Unranked,2,54,Unranked,Unranked,Unranked,54423,Unranked,Unranked,Unranked,2,8,5,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
2711607,Prateek,/prateekagnihotri,16-01-2019,56:01.7,2,Unranked,3,Unranked,2,55,Unranked,1863,Unranked,54069,Unranked,48,Unranked,4,17,3,Unranked,Unranked,Unranked,0,2,8,Unranked,Unranked,Unranked
282250,tereka,/tereka,16-01-2015,42:45.6,1,Unranked,Unranked,3,1,56,Unranked,Unranked,406,52564,Unranked,Unranked,186,8,23,4,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,11,17,50
548996,tito,/its7171,06-03-2016,05:12.3,1,3,1,2,1,57,197,55,237,52353,74,867,298,11,14,0,2,1,3,17,3,5,26,26,152
2497784,KhanhVD,/duykhanh99,15-11-2018,51:13.1,2,3,3,2,2,58,1025,1826,73,52123,9,49,723,2,25,8,0,0,3,2,1,7,29,27,439
7285387,ForcewithMe,/forcewithme,27-04-2021,38:50.3,2,Unranked,Unranked,3,2,59,Unranked,Unranked,311,51184,Unranked,Unranked,231,3,8,1,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,10,12,59
7210433,Amir Ghazi,/amirghazi,17-04-2021,42:31.1,3,Unranked,Unranked,Unranked,3,60,Unranked,Unranked,Unranked,50930,Unranked,Unranked,Unranked,1,0,1,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
1690820,Volodymyr,/vladimirsydor,05-03-2018,38:57.1,2,Unranked,3,3,2,61,Unranked,2597,564,50815,Unranked,30,132,3,9,4,Unranked,Unranked,Unranked,0,2,6,8,18,72
35830,andrekos,/andrekos,19-03-2012,42:26.5,3,Unranked,Unranked,Unranked,3,62,Unranked,Unranked,Unranked,50287,Unranked,Unranked,Unranked,0,9,34,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
1270655,Gary,/garybios,16-09-2017,45:04.9,1,Unranked,Unranked,3,1,63,Unranked,Unranked,883,49928,Unranked,Unranked,83,12,11,0,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,11,15,117
701191,keetar,/keetar,31-08-2016,37:26.2,1,Unranked,Unranked,Unranked,1,64,Unranked,Unranked,Unranked,49544,Unranked,Unranked,Unranked,5,1,0,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked
854613,30CrMnSiA,/h4211819,03-01-2017,36:56.7,1,Unranked,3,3,1,65,Unranked,2691,1715,49513,Unranked,28,33,8,8,2,Unranked,Unranked,Unranked,1,4,1,9,14,53
1305588,pao,/go5kuramubon,02-10-2017,27:04.2,2,Unranked,Unranked,3,2,66,Unranked,Unranked,842,49374,Unranked,Unranked,88,4,9,3,Unranked,Unranked,Unranked,Unranked,Unranked,Unranked,7,3,48
901370,thatdataanalyst,/koki25ando,07-02-2017,23:08.3,3,3,3,Unranked,3,67,1022,2817,Unranked,49243,9,25,Unranked,1,0,1,0,0,4,0,4,8,Unranked,Unranked,Unranked
933653,outrunner,/outrunner,28-02-2017,37:59.2,1,Unranked,3,3,1,68,Unranked,3352,404,48867,Unranked,15,187,7,15,5,Unranked,Unranked,Unranked,1,1,3,12,10,69
1478649,Isamu,/yamsam,07-12-2017,06:59.0,1,Unranked,3,3,1,69,Unranked,531,996,48732,Unranked,168,72,8,6,3,Unranked,Unranked,Unranked,5,2,3,3,5,55
2779868,Nanashi,/jesucristo,04-02-2019,37:32.5,2,Unranked,1,1,1,70,Unranked,193,80,48150,Unranked,381,690,1,23,14,Unranked,Unranked,Unranked,17,5,1,72,80,588
281652,Ian Pan,/vaillant,14-01-2015,23:09.5,1,3,Unranked,3,1,71,415,Unranked,185,47531,36,Unranked,356,7,8,0,1,0,2,Unranked,Unranked,Unranked,26,25,93
